,qseqid,qstart,qend,qlen,sseqid,sstart,send,length,gaps,nident,aligned_pairs,query_coverage,percent_identity
1232,NZ_LR134333.1.1084,1,1019,1020,NZ_LR134215.1,663842,664860,1025,12,735,1013,0.9931372549019608,0.7205882352941176
1234,NZ_LR134333.1.1085,197,988,1020,NZ_LR134215.1,1142432,1141641,795,6,561,789,0.7735294117647059,0.55
1236,NZ_LR134333.1.1087,4,1018,1020,NZ_LR134215.1,676587,677652,1076,71,784,1005,0.9852941176470589,0.7686274509803922
1237,NZ_LR134333.1.1088,9,991,1020,NZ_LR134215.1,677663,678645,990,14,768,976,0.9568627450980393,0.7529411764705882
1238,NZ_LR134333.1.1089,57,1020,1020,NZ_LR134215.1,678745,679708,972,16,760,956,0.9372549019607843,0.7450980392156863
215,NZ_LR134333.1.109,1,824,1020,NZ_LR134215.1,3919673,3920496,832,16,618,816,0.8,0.6058823529411764
1239,NZ_LR134333.1.1090,1,888,1020,NZ_LR134215.1,679709,680601,915,49,655,866,0.8490196078431372,0.6421568627450981
1240,NZ_LR134333.1.1095,288,1003,1020,NZ_LR134215.1,584257,584972,716,0,551,716,0.7019607843137254,0.5401960784313725
1241,NZ_LR134333.1.1096,3,983,1020,NZ_LR134215.1,584992,585974,983,2,743,981,0.961764705882353,0.7284313725490196
1242,NZ_LR134333.1.1097,21,1014,1020,NZ_LR134215.1,586043,587024,1015,54,713,961,0.942156862745098,0.6990196078431372
1243,NZ_LR134333.1.1098,10,960,1020,NZ_LR134215.1,587040,587984,961,26,681,935,0.9166666666666666,0.6676470588235294
49,NZ_LR134333.1.11,271,1020,1020,NZ_LR134215.1,3830328,3831082,770,35,520,735,0.7205882352941176,0.5098039215686274
216,NZ_LR134333.1.110,1,1013,1020,NZ_LR134215.1,3920699,3921713,1025,22,774,1003,0.9833333333333333,0.7588235294117647
1247,NZ_LR134333.1.1101,3,1020,1020,NZ_LR134215.1,589043,589997,1023,73,736,950,0.9313725490196079,0.7215686274509804
1248,NZ_LR134333.1.1102,1,1020,1020,NZ_LR134215.1,589998,591030,1033,13,805,1020,1.0,0.7892156862745098
1249,NZ_LR134333.1.1103,1,1020,1020,NZ_LR134215.1,591031,592089,1062,45,754,1017,0.9970588235294118,0.7392156862745098
1252,NZ_LR134333.1.1105,2,1020,1020,NZ_LR134215.1,593680,594698,1019,0,840,1019,0.9990196078431373,0.8235294117647058
1255,NZ_LR134333.1.1107,1,955,1020,NZ_LR134215.1,595713,596687,980,30,764,950,0.9313725490196079,0.7490196078431373
1257,NZ_LR134333.1.1109,1,1020,1020,NZ_LR134215.1,597786,598805,1020,0,851,1020,1.0,0.8343137254901961
217,NZ_LR134333.1.111,6,1020,1020,NZ_LR134215.1,3921726,3922740,1019,8,764,1011,0.9911764705882353,0.7490196078431373
1258,NZ_LR134333.1.1110,1,1020,1020,NZ_LR134215.1,598806,599771,1025,64,778,961,0.942156862745098,0.7627450980392156
1259,NZ_LR134333.1.1111,1,1020,1020,NZ_LR134215.1,599772,600791,1027,14,790,1013,0.9931372549019608,0.7745098039215687
1261,NZ_LR134333.1.1113,9,1018,1020,NZ_LR134215.1,601832,602843,1014,6,752,1008,0.9882352941176471,0.7372549019607844
1262,NZ_LR134333.1.1114,1,901,1020,NZ_LR134215.1,602846,603746,903,4,707,899,0.8813725490196078,0.6931372549019608
1263,NZ_LR134333.1.1115,7,1018,1020,NZ_LR134215.1,603872,604893,1023,12,779,1011,0.9911764705882353,0.7637254901960784
1264,NZ_LR134333.1.1116,20,1020,1020,NZ_LR134215.1,604915,605911,1017,36,696,981,0.961764705882353,0.6823529411764706
1265,NZ_LR134333.1.1117,3,1018,1020,NZ_LR134215.1,605914,606929,1024,16,743,1008,0.9882352941176471,0.7284313725490196
1266,NZ_LR134333.1.1118,173,1019,1020,NZ_LR134215.1,607104,607959,859,15,621,844,0.8274509803921568,0.6088235294117647
1267,NZ_LR134333.1.1119,1,1020,1020,NZ_LR134215.1,607961,608977,1025,13,783,1012,0.9921568627450981,0.7676470588235295
218,NZ_LR134333.1.112,146,1014,1020,NZ_LR134215.1,3922886,3923754,871,4,687,867,0.85,0.6735294117647059
1268,NZ_LR134333.1.1120,23,1020,1020,NZ_LR134215.1,609000,610000,1010,21,692,989,0.9696078431372549,0.6784313725490196
1269,NZ_LR134333.1.1121,1,991,1020,NZ_LR134215.1,610001,610991,997,12,734,985,0.9656862745098039,0.7196078431372549
1270,NZ_LR134333.1.1122,3,1020,1020,NZ_LR134215.1,611023,612054,1036,22,744,1014,0.9941176470588236,0.7294117647058823
1271,NZ_LR134333.1.1123,3,1020,1020,NZ_LR134215.1,612057,613076,1025,12,732,1013,0.9931372549019608,0.7176470588235294
1272,NZ_LR134333.1.1124,1,919,1020,NZ_LR134215.1,613077,613995,929,20,698,909,0.8911764705882353,0.6843137254901961
1275,NZ_LR134333.1.1126,1,1020,1020,NZ_LR134215.1,616815,617897,1096,89,772,1007,0.9872549019607844,0.7568627450980392
1277,NZ_LR134333.1.1127,1,1020,1020,NZ_LR134215.1,617898,618917,1020,0,857,1020,1.0,0.8401960784313726
219,NZ_LR134333.1.113,35,1020,1020,NZ_LR134215.1,3923795,3924780,990,8,731,982,0.9627450980392157,0.7166666666666667
1281,NZ_LR134333.1.1132,86,1006,1020,NZ_LR134215.1,619735,620653,921,2,726,919,0.9009803921568628,0.711764705882353
1282,NZ_LR134333.1.1133,12,1020,1020,NZ_LR134215.1,620679,621685,1010,4,878,1006,0.9862745098039216,0.8607843137254902
1283,NZ_LR134333.1.1134,1,1018,1020,NZ_LR134215.1,621686,622708,1030,19,840,1011,0.9911764705882353,0.8235294117647058
1284,NZ_LR134333.1.1135,1,1020,1020,NZ_LR134215.1,622711,623729,1034,29,776,1005,0.9852941176470589,0.7607843137254902
1285,NZ_LR134333.1.1136,4,1010,1020,NZ_LR134215.1,623733,624765,1043,46,763,997,0.9774509803921568,0.7480392156862745
1286,NZ_LR134333.1.1137,2,992,1020,NZ_LR134215.1,624777,625815,1043,56,714,987,0.9676470588235294,0.7
220,NZ_LR134333.1.114,1,956,1020,NZ_LR134215.1,3924781,3925740,968,20,699,948,0.9294117647058824,0.6852941176470588
1288,NZ_LR134333.1.1145,1,1020,1020,NZ_LR134215.1,626372,627459,1094,80,819,1014,0.9941176470588236,0.8029411764705883
1289,NZ_LR134333.1.1146,1,1019,1020,NZ_LR134215.1,627460,628504,1050,36,781,1014,0.9941176470588236,0.765686274509804
1290,NZ_LR134333.1.1147,1,890,1020,NZ_LR134215.1,628506,629401,896,6,715,890,0.8725490196078431,0.7009803921568627
221,NZ_LR134333.1.115,1,1018,1020,NZ_LR134215.1,3925805,3926823,1029,21,754,1008,0.9882352941176471,0.7392156862745098
1294,NZ_LR134333.1.1150,2,1020,1020,NZ_LR134215.1,682490,683545,1059,43,797,1016,0.996078431372549,0.7813725490196078
1295,NZ_LR134333.1.1151,1,921,1020,NZ_LR134215.1,683546,684463,923,7,669,916,0.8980392156862745,0.6558823529411765
1296,NZ_LR134333.1.1152,2,1019,1020,NZ_LR134215.1,684564,685583,1031,24,752,1007,0.9872549019607844,0.7372549019607844
1297,NZ_LR134333.1.1153,54,978,1020,NZ_LR134215.1,685638,686555,926,9,659,917,0.8990196078431373,0.6460784313725491
1299,NZ_LR134333.1.1154,273,1020,1020,NZ_LR134215.1,686856,687603,750,4,605,746,0.7313725490196078,0.5931372549019608
1300,NZ_LR134333.1.1155,1,768,1020,NZ_LR134215.1,687604,688372,774,11,603,763,0.7480392156862745,0.5911764705882353
1301,NZ_LR134333.1.1156,20,1020,1020,NZ_LR134215.1,688590,689591,1002,1,812,1001,0.9813725490196078,0.796078431372549
1302,NZ_LR134333.1.1157,4,1020,1020,NZ_LR134215.1,689595,690611,1019,4,837,1015,0.9950980392156863,0.8205882352941176
1303,NZ_LR134333.1.1158,1,726,1020,NZ_LR134215.1,690612,691337,726,0,599,726,0.711764705882353,0.5872549019607843
222,NZ_LR134333.1.116,3,1020,1020,NZ_LR134215.1,3926828,3927833,1048,72,745,976,0.9568627450980393,0.7303921568627451
1306,NZ_LR134333.1.1160,280,1020,1020,NZ_LR134215.1,703336,702596,741,0,585,741,0.7264705882352941,0.5735294117647058
1307,NZ_LR134333.1.1161,11,1020,1020,NZ_LR134215.1,702585,701561,1027,19,806,1008,0.9882352941176471,0.7901960784313725
1310,NZ_LR134333.1.1164,1,778,1020,NZ_LR134215.1,703583,704360,786,16,568,770,0.7549019607843137,0.5568627450980392
1311,NZ_LR134333.1.1165,1,1020,1020,NZ_LR134215.1,704582,705613,1037,22,767,1015,0.9950980392156863,0.7519607843137255
1312,NZ_LR134333.1.1166,1,1019,1020,NZ_LR134215.1,705614,706635,1037,33,760,1004,0.984313725490196,0.7450980392156863
1313,NZ_LR134333.1.1167,1,935,1020,NZ_LR134215.1,706637,707579,948,18,699,930,0.9117647058823529,0.6852941176470588
1314,NZ_LR134333.1.1168,3,1020,1020,NZ_LR134215.1,707667,708684,1020,4,784,1016,0.996078431372549,0.7686274509803922
1315,NZ_LR134333.1.1169,1,1018,1020,NZ_LR134215.1,708685,709713,1035,23,797,1012,0.9921568627450981,0.7813725490196078
223,NZ_LR134333.1.117,1,1020,1020,NZ_LR134215.1,3927834,3928851,1020,2,903,1018,0.9980392156862745,0.8852941176470588
1316,NZ_LR134333.1.1170,1,1020,1020,NZ_LR134215.1,709716,710738,1023,3,846,1020,1.0,0.8294117647058824
1318,NZ_LR134333.1.1171,3,1020,1020,NZ_LR134215.1,710741,711755,1018,3,834,1015,0.9950980392156863,0.8176470588235294
1322,NZ_LR134333.1.1174,2,1020,1020,NZ_LR134215.1,486083,487104,1025,9,812,1016,0.996078431372549,0.796078431372549
1330,NZ_LR134333.1.1187,1,1018,1020,NZ_LR134215.1,618360,619377,1018,0,793,1018,0.9980392156862745,0.7774509803921569
226,NZ_LR134333.1.119,6,1011,1020,NZ_LR134215.1,3929696,3930701,1006,0,832,1006,0.9862745098039216,0.8156862745098039
50,NZ_LR134333.1.12,1,1019,1020,NZ_LR134215.1,3831083,3832101,1019,0,879,1019,0.9990196078431373,0.861764705882353
229,NZ_LR134333.1.121,34,783,1020,NZ_LR134215.1,3931641,3932390,752,4,552,748,0.7333333333333333,0.5411764705882353
1335,NZ_LR134333.1.1221,74,1020,1020,NZ_LR134215.1,746859,747805,947,0,773,947,0.9284313725490196,0.7578431372549019
1336,NZ_LR134333.1.1222,1,794,1020,NZ_LR134215.1,747806,748595,795,6,633,789,0.7735294117647059,0.6205882352941177
1337,NZ_LR134333.1.1236,172,1020,1020,NZ_LR134215.1,3191069,3190221,849,0,709,849,0.8323529411764706,0.6950980392156862
1340,NZ_LR134333.1.1241,1,1018,1020,NZ_LR134215.1,3189621,3188604,1019,2,876,1017,0.9970588235294118,0.8588235294117647
1341,NZ_LR134333.1.1242,176,1020,1020,NZ_LR134215.1,3188511,3187668,846,3,711,843,0.8264705882352941,0.6970588235294117
1343,NZ_LR134333.1.1243,1,1020,1020,NZ_LR134215.1,3187667,3186649,1020,1,872,1019,0.9990196078431373,0.8549019607843137
1344,NZ_LR134333.1.1244,8,1017,1020,NZ_LR134215.1,3186641,3185633,1010,1,820,1009,0.9892156862745098,0.803921568627451
1345,NZ_LR134333.1.1245,1,1020,1020,NZ_LR134215.1,3185629,3184610,1020,0,841,1020,1.0,0.8245098039215686
1346,NZ_LR134333.1.1246,1,1020,1020,NZ_LR134215.1,3184609,3183590,1020,0,811,1020,1.0,0.7950980392156862
1350,NZ_LR134333.1.1259,15,1020,1020,NZ_LR134215.1,3124943,3125948,1008,4,733,1004,0.984313725490196,0.7186274509803922
1354,NZ_LR134333.1.1262,11,996,1020,NZ_LR134215.1,3127975,3128976,1004,20,735,984,0.9647058823529412,0.7205882352941176
1362,NZ_LR134333.1.1281,284,1011,1020,NZ_LR134215.1,40153,40875,734,17,540,717,0.7029411764705882,0.5294117647058824
1363,NZ_LR134333.1.1282,110,1020,1020,NZ_LR134215.1,41001,41911,916,10,694,906,0.888235294117647,0.6803921568627451
1364,NZ_LR134333.1.1283,1,1020,1020,NZ_LR134215.1,41912,42931,1023,6,769,1017,0.9970588235294118,0.753921568627451
231,NZ_LR134333.1.129,1,1020,1020,NZ_LR134215.1,3932451,3933470,1023,6,817,1017,0.9970588235294118,0.8009803921568628
1369,NZ_LR134333.1.1290,36,856,1020,NZ_LR134215.1,3124430,3123607,825,5,619,820,0.803921568627451,0.6068627450980392
1370,NZ_LR134333.1.1291,4,1019,1020,NZ_LR134215.1,1896644,1897660,1024,15,715,1009,0.9892156862745098,0.7009803921568627
1373,NZ_LR134333.1.1293,14,774,1020,NZ_LR134215.1,793373,794133,761,0,579,761,0.746078431372549,0.5676470588235294
1378,NZ_LR134333.1.1298,25,1020,1020,NZ_LR134215.1,594491,593505,1006,29,700,977,0.957843137254902,0.6862745098039216
52,NZ_LR134333.1.13,17,1020,1020,NZ_LR134215.1,3832120,3833123,1006,4,732,1002,0.9823529411764705,0.7176470588235294
233,NZ_LR134333.1.130,3,995,1020,NZ_LR134215.1,3933473,3934463,996,8,818,988,0.9686274509803922,0.8019607843137255
1383,NZ_LR134333.1.1312,7,1020,1020,NZ_LR134215.1,797502,798495,1018,28,753,990,0.9705882352941176,0.7382352941176471
1384,NZ_LR134333.1.1313,11,906,1020,NZ_LR134215.1,798506,799402,897,1,694,896,0.8784313725490196,0.6803921568627451
1386,NZ_LR134333.1.1319,193,1019,1020,NZ_LR134215.1,799434,800260,831,8,647,823,0.8068627450980392,0.634313725490196
1389,NZ_LR134333.1.1321,3,1020,1020,NZ_LR134215.1,801128,802145,1023,10,789,1013,0.9931372549019608,0.7735294117647059
1390,NZ_LR134333.1.1322,1,1020,1020,NZ_LR134215.1,802146,803165,1027,14,767,1013,0.9931372549019608,0.7519607843137255
1391,NZ_LR134333.1.1323,11,1020,1020,NZ_LR134215.1,803176,804185,1012,4,759,1008,0.9882352941176471,0.7441176470588236
1397,NZ_LR134333.1.1327,1,802,1020,NZ_LR134215.1,806862,807673,820,26,589,794,0.7784313725490196,0.5774509803921568
1398,NZ_LR134333.1.1328,1,1020,1020,NZ_LR134215.1,807893,808913,1026,11,820,1015,0.9950980392156863,0.803921568627451
1399,NZ_LR134333.1.1329,10,1011,1020,NZ_LR134215.1,808923,809924,1002,0,792,1002,0.9823529411764705,0.7764705882352941
1400,NZ_LR134333.1.1330,1,929,1020,NZ_LR134215.1,809934,810862,937,16,727,921,0.9029411764705882,0.7127450980392157
1401,NZ_LR134333.1.1331,187,1019,1020,NZ_LR134215.1,811007,811839,833,0,665,833,0.8166666666666667,0.6519607843137255
1402,NZ_LR134333.1.1332,4,918,1020,NZ_LR134215.1,811844,812759,921,11,741,910,0.8921568627450981,0.7264705882352941
1404,NZ_LR134333.1.1335,1,1020,1020,NZ_LR134215.1,814922,815938,1032,27,716,1005,0.9852941176470589,0.7019607843137254
1405,NZ_LR134333.1.1336,1,1014,1020,NZ_LR134215.1,815939,816952,1016,4,758,1012,0.9921568627450981,0.7431372549019608
1406,NZ_LR134333.1.1337,88,1020,1020,NZ_LR134215.1,817046,817981,944,19,641,925,0.9068627450980392,0.6284313725490196
1407,NZ_LR134333.1.1338,237,989,1020,NZ_LR134215.1,818204,818956,753,0,569,753,0.7382352941176471,0.557843137254902
1408,NZ_LR134333.1.1339,2,1020,1020,NZ_LR134215.1,818989,820007,1026,14,747,1012,0.9921568627450981,0.7323529411764705
236,NZ_LR134333.1.134,155,1018,1020,NZ_LR134215.1,3934914,3935777,864,0,735,864,0.8470588235294118,0.7205882352941176
1409,NZ_LR134333.1.1340,1,984,1020,NZ_LR134215.1,820008,820991,1004,40,704,964,0.9450980392156862,0.6901960784313725
1411,NZ_LR134333.1.1342,1,1018,1020,NZ_LR134215.1,822048,823065,1023,10,738,1013,0.9931372549019608,0.7235294117647059
1412,NZ_LR134333.1.1343,14,904,1020,NZ_LR134215.1,823081,823986,916,35,638,881,0.8637254901960785,0.6254901960784314
1414,NZ_LR134333.1.1345,1,1017,1020,NZ_LR134215.1,825123,826139,1028,22,713,1006,0.9862745098039216,0.6990196078431372
1415,NZ_LR134333.1.1346,16,1020,1020,NZ_LR134215.1,826158,827167,1013,11,796,1002,0.9823529411764705,0.7803921568627451
1417,NZ_LR134333.1.1348,1,1015,1020,NZ_LR134215.1,828194,829202,1016,8,784,1008,0.9882352941176471,0.7686274509803922
1419,NZ_LR134333.1.1349,130,931,1020,NZ_LR134215.1,2804530,2803729,816,28,569,788,0.7725490196078432,0.557843137254902
237,NZ_LR134333.1.135,1,1020,1020,NZ_LR134215.1,3935780,3936798,1024,9,823,1015,0.9950980392156863,0.8068627450980392
1425,NZ_LR134333.1.1361,269,1020,1020,NZ_LR134215.1,3057748,3058499,758,12,531,746,0.7313725490196078,0.5205882352941177
1429,NZ_LR134333.1.1365,1,736,1020,NZ_LR134215.1,3094710,3095445,737,2,554,735,0.7205882352941176,0.5431372549019607
239,NZ_LR134333.1.137,87,1018,1020,NZ_LR134215.1,3937436,3938367,932,0,755,932,0.9137254901960784,0.7401960784313726
1434,NZ_LR134333.1.1370,1,890,1020,NZ_LR134215.1,1547510,1548399,896,12,639,884,0.8666666666666667,0.6264705882352941
1435,NZ_LR134333.1.1371,9,1020,1020,NZ_LR134215.1,1548538,1549561,1039,42,729,997,0.9774509803921568,0.7147058823529412
1436,NZ_LR134333.1.1372,5,1015,1020,NZ_LR134215.1,1549566,1550569,1023,31,741,992,0.9725490196078431,0.7264705882352941
1437,NZ_LR134333.1.1373,2,1019,1020,NZ_LR134215.1,1550576,1551596,1026,13,766,1013,0.9931372549019608,0.7509803921568627
1438,NZ_LR134333.1.1374,38,1020,1020,NZ_LR134215.1,1551635,1552617,999,32,665,967,0.9480392156862745,0.6519607843137255
1439,NZ_LR134333.1.1375,58,1015,1020,NZ_LR134215.1,1552675,1553632,963,10,699,953,0.9343137254901961,0.6852941176470588
1440,NZ_LR134333.1.1376,1,1020,1020,NZ_LR134215.1,1553638,1554669,1045,38,726,1007,0.9872549019607844,0.711764705882353
1441,NZ_LR134333.1.1377,9,1006,1020,NZ_LR134215.1,1554678,1555675,1006,16,736,990,0.9705882352941176,0.7215686274509804
1442,NZ_LR134333.1.1378,38,1018,1020,NZ_LR134215.1,1555727,1556702,989,21,686,968,0.9490196078431372,0.6725490196078432
1443,NZ_LR134333.1.1379,3,1020,1020,NZ_LR134215.1,1556707,1557718,1028,26,730,1002,0.9823529411764705,0.7156862745098039
240,NZ_LR134333.1.138,3,1020,1020,NZ_LR134215.1,3938372,3939389,1019,2,785,1017,0.9970588235294118,0.7696078431372549
1444,NZ_LR134333.1.1380,1,1015,1020,NZ_LR134215.1,1557719,1558733,1021,12,732,1009,0.9892156862745098,0.7176470588235294
1445,NZ_LR134333.1.1381,81,1020,1020,NZ_LR134215.1,1558819,1559759,943,5,715,938,0.9196078431372549,0.7009803921568627
1446,NZ_LR134333.1.1382,226,1020,1020,NZ_LR134215.1,1559967,1560761,799,8,643,791,0.7754901960784314,0.6303921568627451
1447,NZ_LR134333.1.1383,1,997,1020,NZ_LR134215.1,1560762,1561746,1019,56,679,963,0.9441176470588235,0.6656862745098039
1459,NZ_LR134333.1.1386,1,1019,1020,NZ_LR134215.1,829974,830992,1019,0,838,1019,0.9990196078431373,0.8215686274509804
1460,NZ_LR134333.1.1387,219,989,1020,NZ_LR134215.1,831128,831898,771,0,610,771,0.7558823529411764,0.5980392156862745
1461,NZ_LR134333.1.1388,161,970,1020,NZ_LR134215.1,831940,832754,821,17,576,804,0.788235294117647,0.5647058823529412
1462,NZ_LR134333.1.1389,3,754,1020,NZ_LR134215.1,832807,833558,763,22,513,741,0.7264705882352941,0.5029411764705882
241,NZ_LR134333.1.139,1,1020,1020,NZ_LR134215.1,3939390,3940409,1022,4,817,1018,0.9980392156862745,0.8009803921568628
1463,NZ_LR134333.1.1390,159,1019,1020,NZ_LR134215.1,833719,834572,864,13,696,851,0.8343137254901961,0.6823529411764706
1464,NZ_LR134333.1.1391,1,1017,1020,NZ_LR134215.1,834574,835615,1042,25,814,1017,0.9970588235294118,0.7980392156862746
1465,NZ_LR134333.1.1392,4,883,1020,NZ_LR134215.1,835622,836501,880,0,728,880,0.8627450980392157,0.7137254901960784
53,NZ_LR134333.1.14,1,765,1020,NZ_LR134215.1,3833124,3833888,765,0,625,765,0.75,0.6127450980392157
242,NZ_LR134333.1.140,2,1020,1020,NZ_LR134215.1,3940411,3941440,1030,11,845,1019,0.9990196078431373,0.8284313725490197
1470,NZ_LR134333.1.1406,205,924,1020,NZ_LR134215.1,1995689,1994970,725,10,491,715,0.7009803921568627,0.48137254901960785
1471,NZ_LR134333.1.1409,80,960,1020,NZ_LR134215.1,3043993,3044873,883,4,671,879,0.861764705882353,0.657843137254902
243,NZ_LR134333.1.141,1,1018,1020,NZ_LR134215.1,3941441,3942465,1027,11,822,1016,0.996078431372549,0.8058823529411765
